id,Vehicle Name,Vehicle Description,Branch
67,T1211 FS Nth,Truck Isuzu NQR 87-190 Multi Purpose 8.7T,Field Services North
68,T1212 FS Nth,Truck Isuzu NQR 87-190 Multi Purpose Tipper 8.7T,Field Services North
69,T1213 FS Sth,Truck Isuzu FRR107-210 AMT Multi Purpose 10.7T,Field Services South
70,T1214 Vac Truck Noosa,Truck Fuso Fighter 1224 Vacuum 12T,Field Services North
71,T1215 FS Nth,Truck Isuzu NQR 87-190 Muti Purpose Tipper 8.7T,Field Services North
72,T1216 FS Sth,Truck Hino FC1124 AT Leaf Multi Purpose Tipper 11T,Field Services South
73,T1217 FS Nth,Truck Isuzu NQR80-190  8.7T,Field Services North
74,T1218 FS Nth,Truck Isuzu NQR 87-190 Multi Purpose Tipper 8.7T,Field Services North
75,T1219 ME Sth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - South
76,T1220 ME Nth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - North
77,T1221 ME Sth,Truck Isuzu FRR110-260 Auto Crane-11T,Mechanical and Electrical Services - South
78,T1222 Pri Wks Nth,Truck FUSO Canter 918 XXLWB Multi Purpose Tipper 8.5T,Private Works North
79,T1223 ME Nth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - North
80,T1224 ME Crane Sth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - South
81,T1225 ME Nth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - North
82,T1226 ME Sth,Truck Isuzu FRR110-260 Auto Crane 11T,Mechanical and Electrical Services - South
83,T1227 ME Sth,Truck Isuzu FSR 140-260 XLWB Tilt Tipper Auto 14T,Mechanical and Electrical Services - South
84,T1228 FS Sth,Truck 4x2 Hino-Multi Purpose 11T-Tipper-Tailgate Lifter,Field Services South
85,T1229 FS Nth,Truck 4x2 Hino-Multi Purpose 8.5T-Tipper-Tailgate Lifter,Field Services North
86,T1230 FS Nth,Truck 4x2 Hino-Multi Purpose 8.5T-Tipper-Tailgate Lifter,Field Services North
87,T1232 FS Nth,Truck 4x2 Isuzu-Multi Purpose 8.5T-Tipper-Tailgate Lifter,Field Services North
88,T1233 FS Sth,Truck 4x2 Isuzu-Multi Purpose 8.5T-Tipper-Tailgate Lifter,Field Services South
89,T1234 Burp STP Tipper,Truck 4x2 Isuzu-Tipper 16T-Aluminum Body,Treatment Plants
90,T1248 FS Nth Tipper,Truck Isuzu NPR 75-190,Field Services North
91,V1624 ME Sth,Utility Ford Ranger 4X2 Canopy Single Cab EIC,Mechanical and Electrical Services - South
92,V1626 Capital Delivery,Utility Ford Ranger 4x4 Alloy Tray Single Cab,Capital Delivery
93,V1635 Tech DS Sth,Utility Ford Ranger 4x2 Canopy Dual Cab ICT,Technology & Digital Solutions
94,V1639 FS Nth,Utility Ford Ranger 4x4 Alloy Tray Single Cab & Valve Exerciser,Field Services North
95,V1651 IPCD,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,IPCD
96,V1653 WS Sth,Utility Ford Ranger 4x2 Canopy Dual Cab,Water Solutions
97,V1655 IPCD,Utility Ford Ranger 4x4 Alloy Tray Single Cab SPO,IPCD
98,V1657 STP Nth OnCall,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Treatment Plants
99,V1665 FS Sth,Utility Ford Ranger 4x2 Canopy Single Cab MRO,Field Services South
100,V1666 FS Sth,Utility Ford Ranger 4x2 Canopy Single Cab,Field Services South
101,V1668 Water Solut. S,Utility Ford Ranger 4x2 Canopy Single Cab,Water Solutions
102,V1672 SSC Pool Car 1,Hatch Toyota Prius SSC Pool car 1,Pool Vehicle
103,V1673 SSC Pool Car 2,Hatch Toyota Prius Pool car SSC 2,Pool Vehicle
104,V1674 Pool Mkting,Van Hyundai iLoad,Pool Vehicle
105,V1675 WACI,Utility Ford Ranger 4x2 Canopy Single Cab,Wellbeing & Continuous Improvement
106,V1676 STP Sth Bribie,Utility Ford Ranger 4x4 Alloy Tray Dual Cab SPO,Treatment Plants
