InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
736,63 Landsborough pde,GOLDEN BEACH,63 LANDSBOROUGH PDE,GOLDEN BEACH,4551,SUNSHINE COAST REGIONAL,231,RP62808,153.12036363,-26.82146446,PC,100,63 LANDSBOROUGH PDE  GOLDEN BEACH QLD 4551,, 
737,90 Taylor ave,GOLDEN BEACH,90 TAYLOR AV,GOLDEN BEACH,4551,SUNSHINE COAST REGIONAL,22,RP130734,153.11904285,-26.82049524,PC,100,90 TAYLOR AV  GOLDEN BEACH QLD 4551,, 
738,75 Taylor ave,GOLDEN BEACH,75 TAYLOR AV,GOLDEN BEACH,4551,SUNSHINE COAST REGIONAL,4,RP130734,153.11949413,-26.82025491,PC,100,75 TAYLOR AV  GOLDEN BEACH QLD 4551,, 
739,5 Bluff st,BIRTINYA,5 BLUFF ST,BIRTINYA,4575,SUNSHINE COAST REGIONAL,294,SP263736,153.11630104,-26.75585509,PC,100,5 BLUFF ST  BIRTINYA QLD 4575,, 
740,77 Baanya st,WURTULLA,77 BAANYA ST,WURTULLA,4575,SUNSHINE COAST REGIONAL,443,CG6208,153.11938916,-26.75619925,PC,100,77 BAANYA ST  WURTULLA QLD 4575,, 
742,35 Noosa dr,NOOSA HEADS,35 NOOSA DR,NOOSA HEADS,4567,NOOSA SHIRE,1,RP123877,153.09004258,-26.39148498,PC,100,35 NOOSA DR  NOOSA HEADS QLD 4567,, 
743,23 Beaverbrook cirt,SIPPY DOWNS,23 BEAVERBROOK CCT,SIPPY DOWNS,4556,SUNSHINE COAST REGIONAL,566,RP885931,153.05718213,-26.72121323,PC,97,23 BEAVERBROOK CCT  SIPPY DOWNS QLD 4556,, 
744,5 Premier cirt,WARANA,5 PREMIER CCT,WARANA,4575,SUNSHINE COAST REGIONAL,25,SP142584,153.11796718,-26.72881427,PC,94,5 PREMIER CCT  WARANA QLD 4575,, 
745,10 First ave,CALOUNDRA,10 FIRST AV,CALOUNDRA,4551,SUNSHINE COAST REGIONAL,40,RP65952,153.12369936,-26.80252952,PC,100,10 FIRST AV  CALOUNDRA QLD 4551,, 
746,2 Graf dr,BELLS CREEK,2 GRAF DR,BARINGA,4551,SUNSHINE COAST REGIONAL,1,SP308152,153.06851163,-26.81037256,PC,100,2 GRAF DR  BARINGA QLD 4551,, 
747,71 George St s,MOFFAT BEACH,71 GEORGE ST,MOFFAT BEACH,4551,SUNSHINE COAST REGIONAL,51,RP8426,153.13536339,-26.79199024,PC,98,71 GEORGE ST  MOFFAT BEACH QLD 4551,, 
748,18 Newing way,CALOUNDRA WEST,18 NEWING WAY,CALOUNDRA WEST,4551,SUNSHINE COAST REGIONAL,20,RP884355,153.11119377,-26.79031,PC,100,18 NEWING WAY  CALOUNDRA WEST QLD 4551,, 
749,79 Baanya st,WURTULLA,79 BAANYA ST,WURTULLA,4575,SUNSHINE COAST REGIONAL,444,CG6208,153.11922181,-26.75630776,PC,100,79 BAANYA ST  WURTULLA QLD 4575,, 
750,7 Edith st,CALOUNDRA,7 EDITH ST,CALOUNDRA,4551,SUNSHINE COAST REGIONAL,55,RP67809,153.13356932,-26.79974766,PC,100,7 EDITH ST  CALOUNDRA QLD 4551,, 
752,67 Juno dr,AROONA,67 JUNO DR,AROONA,4551,SUNSHINE COAST REGIONAL,584,RP204461,153.12250222,-26.78443085,PC,100,67 JUNO DR  AROONA QLD 4551,, 
753,2 Camelia st,BOKARINA,2 CAMELIA ST,BOKARINA,4575,SUNSHINE COAST REGIONAL,97,B96015,153.13114913,-26.73875469,PC,100,2 CAMELIA ST  BOKARINA QLD 4575,, 
754,19 Ribbonwood st,SIPPY DOWNS,19 RIBBONWOOD ST,SIPPY DOWNS,4556,SUNSHINE COAST REGIONAL,109,SP190384,153.04750921,-26.72800525,PC,100,19 RIBBONWOOD ST  SIPPY DOWNS QLD 4556,, 
757,36 Sippy Downs dr,SIPPY DOWNS,36 SIPPY DOWNS DR,SIPPY DOWNS,4556,SUNSHINE COAST REGIONAL,14,RP882579,153.05412673,-26.71772803,PC,100,36 SIPPY DOWNS DR  SIPPY DOWNS QLD 4556,, 
758,7 Brigalow st,CALOUNDRA WEST,7 BRIGALOW ST,CALOUNDRA WEST,4551,SUNSHINE COAST REGIONAL,41,RP843815,153.10845273,-26.78673305,PC,100,7 BRIGALOW ST  CALOUNDRA WEST QLD 4551,, 
759,10 Pannaroo st,BUDDINA,10 PANNAROO ST,BUDDINA,4575,SUNSHINE COAST REGIONAL,261,RP114172,153.13336021,-26.69224096,PC,100,10 PANNAROO ST  BUDDINA QLD 4575,, 
760,8 Pannaroo st,BUDDINA,8 PANNAROO ST,BUDDINA,4575,SUNSHINE COAST REGIONAL,260,RP114172,153.13337935,-26.69209096,PC,100,8 PANNAROO ST  BUDDINA QLD 4575,, 
761,25 Kalana rd,AROONA,25 KALANA RD,CURRIMUNDI,4551,SUNSHINE COAST REGIONAL,298,CG6330,153.12351016,-26.77717645,PC,97,25 KALANA RD  CURRIMUNDI QLD 4551,, 
762,29 Caloundra rd (6),CALOUNDRA WEST,29 CALOUNDRA RD,CALOUNDRA WEST,4551,SUNSHINE COAST REGIONAL,2,CG841428,153.11173196,-26.79628423,PC,94,29 CALOUNDRA RD  CALOUNDRA WEST QLD 4551,, 
763,27 Kalana rd,AROONA,27 KALANA RD,CURRIMUNDI,4551,SUNSHINE COAST REGIONAL,299,CG6316,153.12330855,-26.7771557,PC,97,27 KALANA RD  CURRIMUNDI QLD 4551,, 
768,26 Kalana rd,AROONA,26 KALANA RD,AROONA,4551,SUNSHINE COAST REGIONAL,361,RP176518,153.12325233,-26.77760144,PC,100,26 KALANA RD  AROONA QLD 4551,, 
769,6 Textile ave,WARANA,6 TEXTILE AV,WARANA,4575,SUNSHINE COAST REGIONAL,105,RP836180,153.12386402,-26.72852322,PC,100,6 TEXTILE AV  WARANA QLD 4575,, 
770,75 School rd,MAROOCHYDORE,75 SCHOOL RD,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,76,RP119638,153.08041247,-26.65471682,PC,100,75 SCHOOL RD  MAROOCHYDORE QLD 4558,, 
771,2 Sunshine ct,MAROOCHYDORE,2 SUNSHINE CT,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,9,RP137042,153.07999606,-26.65501235,PC,100,2 SUNSHINE CT  MAROOCHYDORE QLD 4558,, 
773,50 Tarwarri cres,MOOLOOLABA,50 TARWARRI CR,MOOLOOLABA,4557,SUNSHINE COAST REGIONAL,514,RP129652,153.11265183,-26.68393366,PC,100,50 TARWARRI CR  MOOLOOLABA QLD 4557,, 
774,48 Tarwarri cres,MOOLOOLABA,48 TARWARRI CR,MOOLOOLABA,4557,SUNSHINE COAST REGIONAL,513,RP129652,153.11247808,-26.68385097,PC,100,48 TARWARRI CR  MOOLOOLABA QLD 4557,, 
776,10A Kauri st,COOROY,10A KAURI ST,COOROY,4563,NOOSA SHIRE,1,RP845245,152.91422454,-26.41135044,PC,100,10A KAURI ST  COOROY QLD 4563,, 
777,33 Mary st,NOOSAVILLE,33 MARY ST,NOOSAVILLE,4566,NOOSA SHIRE,13,RP64833,153.0652708,-26.40053697,PC,100,33 MARY ST  NOOSAVILLE QLD 4566,, 
778,15 Sunset dr,NOOSA HEADS,15 SUNSET DR,NOOSA HEADS,4567,NOOSA SHIRE,104,RP132405,153.08256605,-26.40848722,PC,100,15 SUNSET DR  NOOSA HEADS QLD 4567,, 
779,19 Honeyeater cres,PEREGIAN SPRINGS,19 HONEYEATER CR,PEREGIAN SPRINGS,4573,SUNSHINE COAST REGIONAL,2211,SP190754,153.07144407,-26.50161823,PC,100,19 HONEYEATER CR  PEREGIAN SPRINGS QLD 4573,, 
780,26 Duporth ave,MAROOCHYDORE,26 DUPORTH AV,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,1,SP179583,153.09330609,-26.65222681,PC,100,26 DUPORTH AV  MAROOCHYDORE QLD 4558,, 
781,34 Duporth ave,MAROOCHYDORE,34 DUPORTH AV,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,1,RP61868,153.09298549,-26.6521253,PC,100,34 DUPORTH AV  MAROOCHYDORE QLD 4558,, 
784,14 Arakoon cres,SUNSHINE BEACH,14 ARAKOON CR,SUNSHINE BEACH,4567,NOOSA SHIRE,789,RP48111,153.11318491,-26.40115409,PC,100,14 ARAKOON CR  SUNSHINE BEACH QLD 4567,, 
785,7 Arakoon cres,SUNSHINE BEACH,7 ARAKOON CR,SUNSHINE BEACH,4567,NOOSA SHIRE,780,RP48111,153.11259481,-26.40096331,PC,100,7 ARAKOON CR  SUNSHINE BEACH QLD 4567,, 
786,127 Griffith ave,TEWANTIN,127 GRIFFITH AV,TEWANTIN,4565,NOOSA SHIRE,278,RP903404,153.01312752,-26.39078066,PC,100,127 GRIFFITH AV  TEWANTIN QLD 4565,, 
788,12 Arakoon cres,SUNSHINE BEACH,12 ARAKOON CR,SUNSHINE BEACH,4567,NOOSA SHIRE,788,RP48111,153.11313322,-26.40128355,PC,100,12 ARAKOON CR  SUNSHINE BEACH QLD 4567,, 
789,9 Cordia clos,PEREGIAN BEACH,9 CORDIA CL,PEREGIAN BEACH,4573,NOOSA SHIRE,380,P93153,153.09649647,-26.46199363,PC,94,9 CORDIA CL  PEREGIAN BEACH QLD 4573,, 
790,2 Project ave,NOOSAVILLE,2 PROJECT AV,NOOSAVILLE,4566,NOOSA SHIRE,32,SP326095,153.04599,-26.40862,BC,100,2 PROJECT AV  NOOSAVILLE QLD 4566,(2 PROJECT AVENUE), 
791,7 Cordia clos,PEREGIAN BEACH,7 CORDIA CL,PEREGIAN BEACH,4573,NOOSA SHIRE,381,P93153,153.09649918,-26.46218024,PC,94,7 CORDIA CL  PEREGIAN BEACH QLD 4573,, 
792,28 Headland dr,NOOSAVILLE,28 HEADLAND DR,NOOSAVILLE,4566,NOOSA SHIRE,2,SP208257,153.0506782,-26.4050429,PC,100,28 HEADLAND DR  NOOSAVILLE QLD 4566,, 
793,3 Honey Myrtle rd,NOOSA HEADS,3 HONEY MYRTLE RD,NOOSA HEADS,4567,NOOSA SHIRE,38,SP272041,153.07741179,-26.41227981,PC,100,3 HONEY MYRTLE RD  NOOSA HEADS QLD 4567,(ELYSIUM NOOSA), 
794,58 Enterprise st,KUNDA PARK,58 ENTERPRISE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,403,RP883564,153.02620067,-26.66846748,PC,100,58 ENTERPRISE ST  KUNDA PARK QLD 4556,, 
795,78 Enterprise st,KUNDA PARK,78 ENTERPRISE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,3,SP103373,153.0260545,-26.66997649,PC,100,78 ENTERPRISE ST  KUNDA PARK QLD 4556,, 
796,24 Whites rd,FOREST GLEN,24 WHITES RD,FOREST GLEN,4556,SUNSHINE COAST REGIONAL,1,RP175851,153.02504559,-26.66966877,PC,100,24 WHITES RD  FOREST GLEN QLD 4556,, 
797,23 Rosemount clos,ROSEMOUNT,23 ROSE MARIE DR,DIDDILLIBAH,4559,SUNSHINE COAST REGIONAL,8,RP188779,153.0014866,-26.64787525,PC,93,23 ROSE MARIE DR  DIDDILLIBAH QLD 4559,, 
798,25 Rosemount clos,ROSEMOUNT,25 ROSEMOUNT CL,ROSEMOUNT,4560,SUNSHINE COAST REGIONAL,1,CG4967,152.9867984,-26.62511826,PC,97,25 ROSEMOUNT CL  ROSEMOUNT QLD 4560,, 
801,1 Meandersea ct,MOUNTAIN CREEK,1 MEANDERSEA CT,MOUNTAIN CREEK,4557,SUNSHINE COAST REGIONAL,34,RP892478,153.0923686,-26.69478367,PC,100,1 MEANDERSEA CT  MOUNTAIN CREEK QLD 4557,, 
802,19 Florence st,NAMBOUR,19 FLORENCE ST,NAMBOUR,4560,SUNSHINE COAST REGIONAL,9,RP127972,152.95413965,-26.62397333,PC,100,19 FLORENCE ST  NAMBOUR QLD 4560,, 
803,11 Yeramba pl,BUDERIM,11 YERAMBA PL,BUDERIM,4556,SUNSHINE COAST REGIONAL,1,RP220971,153.07608151,-26.68895115,PC,100,11 YERAMBA PL  BUDERIM QLD 4556,, 
804,31 Mill rd,BUDERIM,31 MILL RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,9,RP128187,153.05938738,-26.67946683,PC,100,31 MILL RD  BUDERIM QLD 4556,, 
805,8 Glen Kyle dr,BUDERIM,6-8 GLEN KYLE DR,BUDERIM,4556,SUNSHINE COAST REGIONAL,34,RP801903,153.09304209,-26.67334577,PC,98,6-8 GLEN KYLE DR  BUDERIM QLD 4556,, 
806,19 Sharon cres,MOUNTAIN CREEK,19 SHARON CR,MOUNTAIN CREEK,4557,SUNSHINE COAST REGIONAL,309,RP205384,153.10009061,-26.69174934,PC,100,19 SHARON CR  MOUNTAIN CREEK QLD 4557,, 
807,5 Sharon cres,MOUNTAIN CREEK,5 SHARON CR,MOUNTAIN CREEK,4557,SUNSHINE COAST REGIONAL,114,RP194317,153.10071565,-26.6927184,PC,100,5 SHARON CR  MOUNTAIN CREEK QLD 4557,, 
809,19 Myall st (6),COOROY,19 MYALL ST,COOROY,4563,NOOSA SHIRE,23,C5605,152.91003154,-26.42096452,PC,94,19 MYALL ST  COOROY QLD 4563,, 
810,15 Myall st (6),COOROY,15 MYALL ST,COOROY,4563,NOOSA SHIRE,21,C5605,152.90995157,-26.42053822,PC,94,15 MYALL ST  COOROY QLD 4563,, 
811,7 Mcanally dr,SUNSHINE BEACH,7 MCANALLY DR,SUNSHINE BEACH,4567,NOOSA SHIRE,93,RP81810,153.11250202,-26.39836166,PC,100,7 MCANALLY DR  SUNSHINE BEACH QLD 4567,, 
812,6 Jeenon st,MOUNT COOLUM,6 JEENON ST,MOUNT COOLUM,4573,SUNSHINE COAST REGIONAL,41,RP93900,153.0892707,-26.55788567,PC,100,6 JEENON ST  MOUNT COOLUM QLD 4573,, 
813,63 Merimist way,KIELS MOUNTAIN,63 MERIMIST WAY,KIELS MOUNTAIN,4559,SUNSHINE COAST REGIONAL,26,RP891837,153.0088857,-26.65391489,PC,100,63 MERIMIST WAY  KIELS MOUNTAIN QLD 4559,, 
816,30 Morgan clos,YAROOMBA,30 MORGAN CL,YAROOMBA,4573,SUNSHINE COAST REGIONAL,21,RP880715,153.08700701,-26.54142582,PC,94,30 MORGAN CL  YAROOMBA QLD 4573,, 
818,9 Billabong way,TEWANTIN,9 BILLABONG WAY,TEWANTIN,4565,NOOSA SHIRE,172,RP886725,153.01324485,-26.39225551,PC,100,9 BILLABONG WAY  TEWANTIN QLD 4565,, 
819,29 Werin st,TEWANTIN,29 WERIN ST,TEWANTIN,4565,NOOSA SHIRE,32,SP100786,153.03325552,-26.38930508,PC,100,29 WERIN ST  TEWANTIN QLD 4565,, 
821,18 Nannygai st,NOOSAVILLE,UNIT 2 18 NANNYGAI ST,NOOSAVILLE,4566,NOOSA SHIRE,2,SP233494,153.07005487,-26.40331608,PC,98,UNIT 2 18 NANNYGAI ST  NOOSAVILLE QLD 4566,(1 ANCHOR STREET), 
822,4 Cooba pl,NOOSAVILLE,4 COOBA PL,NOOSAVILLE,4566,NOOSA SHIRE,69,RP880685,153.03832212,-26.42045659,PC,100,4 COOBA PL  NOOSAVILLE QLD 4566,, 
823,6 Cooba pl,NOOSAVILLE,6 COOBA PL,NOOSAVILLE,4566,NOOSA SHIRE,70,RP880685,153.03842292,-26.42020357,PC,100,6 COOBA PL  NOOSAVILLE QLD 4566,, 
824,9 Vincent dr,NAMBOUR,9 VINCENT DR,NAMBOUR,4560,SUNSHINE COAST REGIONAL,22,RP885211,152.95824098,-26.61482885,PC,100,9 VINCENT DR  NAMBOUR QLD 4560,, 
826,94 Sportsmans pde,BOKARINA,94 SPORTSMANS PDE,BOKARINA,4575,SUNSHINE COAST REGIONAL,802,SP165752,153.12450577,-26.73758878,PC,100,94 SPORTSMANS PDE  BOKARINA QLD 4575,, 
827,76 Oceanic dr,WARANA,76 OCEANIC DR,WARANA,4575,SUNSHINE COAST REGIONAL,523,W95526,153.13320175,-26.71827374,PC,100,76 OCEANIC DR  WARANA QLD 4575,, 
828,17 Karumba st,WARANA,17 KARUMBA ST,WARANA,4575,SUNSHINE COAST REGIONAL,508,W95524,153.132804,-26.71899266,PC,100,17 KARUMBA ST  WARANA QLD 4575,, 
829,2 Koolena st,BUDDINA,2 KOOLENA ST,BUDDINA,4575,SUNSHINE COAST REGIONAL,78,B92917,153.13455158,-26.69522942,PC,100,2 KOOLENA ST  BUDDINA QLD 4575,, 
832,22 Montgomery cres,GOLDEN BEACH,22 MONTGOMERY CR,GOLDEN BEACH,4551,SUNSHINE COAST REGIONAL,836,RP94508,153.11966702,-26.82745146,PC,100,22 MONTGOMERY CR  GOLDEN BEACH QLD 4551,, 
833,15 Vincent dr,NAMBOUR,15 VINCENT DR,NAMBOUR,4560,SUNSHINE COAST REGIONAL,1,SP178220,152.95789073,-26.6142134,PC,100,15 VINCENT DR  NAMBOUR QLD 4560,, 
836,13 Corella ct,TEWANTIN,13 CORELLA CT,TEWANTIN,4565,NOOSA SHIRE,33,RP887626,153.02765899,-26.38018214,PC,100,13 CORELLA CT  TEWANTIN QLD 4565,, 
838,50 Boardrider cres,MOUNT COOLUM,50 BOARDRIDER CR,MOUNT COOLUM,4573,SUNSHINE COAST REGIONAL,127,SP173321,153.09669766,-26.56818762,PC,100,50 BOARDRIDER CR  MOUNT COOLUM QLD 4573,, 
839,1145 David Low way (6),MARCOOLA,1145 DAVID LOW WAY,MARCOOLA,4564,SUNSHINE COAST REGIONAL,36,M93324,153.09349686,-26.5815035,PC,94,1145 DAVID LOW WAY  MARCOOLA QLD 4564,, 
840,2 Ballykeel ct,YAROOMBA,2 BALLYKEEL CT,YAROOMBA,4573,SUNSHINE COAST REGIONAL,39,SP158710,153.09359486,-26.54414792,PC,100,2 BALLYKEEL CT  YAROOMBA QLD 4573,, 
841,28 Sundew st,MUDJIMBA,28 SUNDEW ST,MUDJIMBA,4564,SUNSHINE COAST REGIONAL,366,RP92320,153.09624534,-26.6171533,PC,100,28 SUNDEW ST  MUDJIMBA QLD 4564,, 
842,34 Dotterell dr,BLI BLI,34 DOTTERELL DR,BLI BLI,4560,SUNSHINE COAST REGIONAL,22,RP194222,153.03920981,-26.61701246,PC,100,34 DOTTERELL DR  BLI BLI QLD 4560,, 
843,32 Dotterell dr,BLI BLI,32 DOTTERELL DR,BLI BLI,4560,SUNSHINE COAST REGIONAL,23,RP183877,153.03904971,-26.61718006,PC,100,32 DOTTERELL DR  BLI BLI QLD 4560,, 
844,50 Avocado cres,BLI BLI,50 AVOCADO CR,BLI BLI,4560,SUNSHINE COAST REGIONAL,10,RP141983,153.03519212,-26.61696815,PC,100,50 AVOCADO CR  BLI BLI QLD 4560,, 
846,12 Vincent dr,NAMBOUR,12 VINCENT DR,NAMBOUR,4560,SUNSHINE COAST REGIONAL,900,SP178220,152.95908663,-26.61415874,PC,100,12 VINCENT DR  NAMBOUR QLD 4560,, 
847,54 Kowonga st,PACIFIC PARADISE,54 KOWONGA ST,PACIFIC PARADISE,4564,SUNSHINE COAST REGIONAL,241,RP92686,153.07540789,-26.61558913,PC,100,54 KOWONGA ST  PACIFIC PARADISE QLD 4564,, 
849,86 Warran rd,YAROOMBA,86 WARRAN RD,YAROOMBA,4573,SUNSHINE COAST REGIONAL,213,RP85309,153.0941247,-26.54834617,PC,100,86 WARRAN RD  YAROOMBA QLD 4573,, 
851,37 Third ave,COOLUM BEACH,37 THIRD AV,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,99,RP95686,153.08758472,-26.52139919,PC,100,37 THIRD AV  COOLUM BEACH QLD 4573,, 
852,1 Godilla st,COOLUM BEACH,1 GODILLA ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,39,RP89339,153.09173748,-26.54125966,PC,100,1 GODILLA ST  COOLUM BEACH QLD 4573,, 
853,8 Satinash pl,MUDJIMBA,8 SATINASH PL,MUDJIMBA,4564,SUNSHINE COAST REGIONAL,33,SP140493,153.09469194,-26.61405628,PC,100,8 SATINASH PL  MUDJIMBA QLD 4564,, 
854,47 Martins dr,KULUIN,47 MARTINS DR,KULUIN,4558,SUNSHINE COAST REGIONAL,48,RP861772,153.0506959,-26.65644646,PC,100,47 MARTINS DR  KULUIN QLD 4558,, 
855,23 Adaluma ave,BUDDINA,23 ADALUMA AV,BUDDINA,4575,SUNSHINE COAST REGIONAL,429,RP118150,153.12960494,-26.68812271,PC,100,23 ADALUMA AV  BUDDINA QLD 4575,, 
856,21 Adaluma ave,BUDDINA,21 ADALUMA AV,BUDDINA,4575,SUNSHINE COAST REGIONAL,428,RP118151,153.12978566,-26.68810831,PC,100,21 ADALUMA AV  BUDDINA QLD 4575,, 
857,1 Adaluma ave,BUDDINA,1 ADALUMA AV,BUDDINA,4575,SUNSHINE COAST REGIONAL,4,RP221012,153.13161211,-26.68790019,PC,100,1 ADALUMA AV  BUDDINA QLD 4575,, 
858,9 Tommys ct,BUDERIM,9 TOMMYS CT,BUDERIM,4556,SUNSHINE COAST REGIONAL,20,SP114798,153.08025418,-26.67972348,PC,100,9 TOMMYS CT  BUDERIM QLD 4556,, 
859,6 Brae ct,BUDERIM,6 BRAE CT,BUDERIM,4556,SUNSHINE COAST REGIONAL,6,RP139413,153.08000141,-26.67859069,PC,100,6 BRAE CT  BUDERIM QLD 4556,, 
860,44 Rim rd,BUDERIM,44 RIM RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,14,RP139413,153.08106339,-26.67862107,PC,100,44 RIM RD  BUDERIM QLD 4556,, 
861,17 Mayfair ln,BUDERIM,17 MAYFAIR LANE,BUDERIM,4556,SUNSHINE COAST REGIONAL,5,SP105538,153.07727188,-26.67597207,PC,97,17 MAYFAIR LANE  BUDERIM QLD 4556,, 
862,13 Malinya dr,BUDDINA,13 MALINYA DR,BUDDINA,4575,SUNSHINE COAST REGIONAL,87,B92930,153.13164614,-26.70793733,PC,100,13 MALINYA DR  BUDDINA QLD 4575,, 
863,1 Kyeema st,BUDDINA,1 KYEEMA ST,BUDDINA,4575,SUNSHINE COAST REGIONAL,64,B92931,153.13368675,-26.70731591,PC,100,1 KYEEMA ST  BUDDINA QLD 4575,, 
864,13 Baleara st,BUDDINA,13 BALEARA ST,BUDDINA,4575,SUNSHINE COAST REGIONAL,113,B92930,153.13218702,-26.70732807,PC,100,13 BALEARA ST  BUDDINA QLD 4575,, 
865,104 Coronation ave,GOLDEN BEACH,104 CORONATION AV,GOLDEN BEACH,4551,SUNSHINE COAST REGIONAL,901,RP94400,153.11655532,-26.82321297,PC,100,104 CORONATION AV  GOLDEN BEACH QLD 4551,, 
866,17 Saltair st,KINGS BEACH,17 SALTAIR ST,KINGS BEACH,4551,SUNSHINE COAST REGIONAL,21,RP52850,153.13965725,-26.80003513,PC,100,17 SALTAIR ST  KINGS BEACH QLD 4551,, 
867,12 Pollys pl,NAMBOUR,12 POLLYS PL,NAMBOUR,4560,SUNSHINE COAST REGIONAL,12,SP178220,152.95824374,-26.61418694,PC,100,12 POLLYS PL  NAMBOUR QLD 4560,, 
869,25 Mckenzie rd,WOOMBYE,25 MCKENZIE RD,WOOMBYE,4559,SUNSHINE COAST REGIONAL,15,RP71217,152.9605535,-26.64603259,PC,100,25 MCKENZIE RD  WOOMBYE QLD 4559,, 
871,10 Mindee st,COOLUM BEACH,10 MINDEE ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,29,RP93885,153.08166026,-26.53929999,PC,100,10 MINDEE ST  COOLUM BEACH QLD 4573,, 
872,4 Mindee st,COOLUM BEACH,4 MINDEE ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,26,RP93885,153.08207615,-26.53968844,PC,100,4 MINDEE ST  COOLUM BEACH QLD 4573,, 
873,16 Baroona st,WURTULLA,16 BAROONA ST,WURTULLA,4575,SUNSHINE COAST REGIONAL,169,W93239,153.1316023,-26.7483023,PC,100,16 BAROONA ST  WURTULLA QLD 4575,, 
874,7 Loparo st,NAMBOUR,7 LOPARO CT,NAMBOUR,4560,SUNSHINE COAST REGIONAL,27,RP117501,152.95497558,-26.62231355,PC,98,7 LOPARO CT  NAMBOUR QLD 4560,, 
875,11 Lachlan ave,NAMBOUR,11 LACHLAN AV,NAMBOUR,4560,SUNSHINE COAST REGIONAL,186,RP184665,152.94729709,-26.62763306,PC,100,11 LACHLAN AV  NAMBOUR QLD 4560,, 
876,2 Kombi st,BOKARINA,5 QUIVER ST,BOKARINA,4575,SUNSHINE COAST REGIONAL,220,SP310871,153.13111436,-26.74502102,PC,100,5 QUIVER ST  BOKARINA QLD 4575,, 
877,751 Nicklin way,CURRIMUNDI,751 NICKLIN WAY,CURRIMUNDI,4551,SUNSHINE COAST REGIONAL,405,C9281,153.12405679,-26.77192354,PC,100,751 NICKLIN WAY  CURRIMUNDI QLD 4551,, 
878,30 Bushlands dr,NOOSAVILLE,30 BUSHLANDS DR,NOOSAVILLE,4566,NOOSA SHIRE,173,SP108678,153.0390262,-26.40943918,PC,100,30 BUSHLANDS DR  NOOSAVILLE QLD 4566,, 
880,1 Lang st,COOLUM BEACH,1 LANG ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,16,RP189056,153.09269267,-26.54200495,PC,100,1 LANG ST  COOLUM BEACH QLD 4573,, 
881,4 Lang st,COOLUM BEACH,4 LANG ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,5,RP189057,153.09334034,-26.54236133,PC,100,4 LANG ST  COOLUM BEACH QLD 4573,, 
882,9 Lang st,COOLUM BEACH,9 LANG ST,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,20,RP189056,153.09359346,-26.54170879,PC,100,9 LANG ST  COOLUM BEACH QLD 4573,, 
883,86 Ben Lexcen dr,SUNSHINE BEACH,86 BEN LEXCEN DR,SUNSHINE BEACH,4567,NOOSA SHIRE,11,RP883852,153.10240617,-26.40500899,PC,100,86 BEN LEXCEN DR  SUNSHINE BEACH QLD 4567,, 
884,8 William st,TEWANTIN,8 WILLIAM ST,TEWANTIN,4565,NOOSA SHIRE,61,RP141435,153.02603139,-26.39684467,PC,100,8 WILLIAM ST  TEWANTIN QLD 4565,, 
885,30 Fauna ter,COOLUM BEACH,30 FAUNA TCE,COOLUM BEACH,4573,SUNSHINE COAST REGIONAL,29,RP190990,153.09264895,-26.53967758,PC,94,30 FAUNA TCE  COOLUM BEACH QLD 4573,, 
887,116 Petrie Creek rd,NAMBOUR,116 PETRIE CREEK RD,ROSEMOUNT,4560,SUNSHINE COAST REGIONAL,13,RP134985,152.98318055,-26.62296619,PC,97,116 PETRIE CREEK RD  ROSEMOUNT QLD 4560,, 
888,44 Petrie ave,MARCOOLA,44 PETRIE AV,MARCOOLA,4564,SUNSHINE COAST REGIONAL,288,M93313,153.09639604,-26.58468249,PC,100,44 PETRIE AV  MARCOOLA QLD 4564,, 
890,1-5 Price st,NAMBOUR,1-5 PRICE ST,NAMBOUR,4560,SUNSHINE COAST REGIONAL,4,RP204123,152.95877498,-26.62435172,PC,100,1-5 PRICE ST  NAMBOUR QLD 4560,, 
891,34 Raylee ave,NAMBOUR,34 RAYLEE AV,NAMBOUR,4560,SUNSHINE COAST REGIONAL,54,RP111083,152.93575489,-26.62472259,PC,100,34 RAYLEE AV  NAMBOUR QLD 4560,, 
894,46 Miva st,COOROY,46 MIVA ST,COOROY,4563,NOOSA SHIRE,317,C5602,152.9149539,-26.41830219,PC,100,46 MIVA ST  COOROY QLD 4563,, 
