InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
44,15 Blackbutt ct,TEWANTIN,15 BLACKBUTT CT,TEWANTIN,4565,NOOSA SHIRE,54,RP844341,153.02290623,-26.38627821,PC,100,15 BLACKBUTT CT  TEWANTIN QLD 4565,, 
46,10 Ruby st,COOROY,10 RUBY ST,COOROY,4563,NOOSA SHIRE,506,C56014,152.91290281,-26.41961471,PC,100,10 RUBY ST  COOROY QLD 4563,, 
51,59 Bungama st,MAROOCHYDORE,59 BUNGAMA ST,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,37,RP92943,153.09405842,-26.65998379,PC,100,59 BUNGAMA ST  MAROOCHYDORE QLD 4558,, 
55,59 Ridgeview dr,PEREGIAN SPRINGS,59 RIDGEVIEW DR,PEREGIAN SPRINGS,4573,SUNSHINE COAST REGIONAL,9001,SP215227,153.07607848,-26.50080524,PC,100,59 RIDGEVIEW DR  PEREGIAN SPRINGS QLD 4573,, 
58,Barbados way,PARREARRA,Lot 980 BARBADOS WAY,PARREARRA,4575,SUNSHINE COAST REGIONAL,980,SP157257,153.11761619,-26.71175666,PC,100,Lot 980 BARBADOS WAY  PARREARRA QLD 4575,, 
62,32 Rosemount clos,ROSEMOUNT,32 ROSEMOUNT CL,ROSEMOUNT,4560,SUNSHINE COAST REGIONAL,2,RP208624,152.98711374,-26.62675731,PC,97,32 ROSEMOUNT CL  ROSEMOUNT QLD 4560,, 
63,9 Mitchell st,NAMBOUR,9 MITCHELL ST,NAMBOUR,4560,SUNSHINE COAST REGIONAL,29,RP26519,152.95841141,-26.62923905,PC,100,9 MITCHELL ST  NAMBOUR QLD 4560,, 
65,56 Enterprise st,KUNDA PARK,56 ENTERPRISE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,402,RP883564,153.02653754,-26.66834227,PC,100,56 ENTERPRISE ST  KUNDA PARK QLD 4556,, 
69,7 Orient dr,SUNRISE BEACH,7 ORIENT DR,SUNRISE BEACH,4567,NOOSA SHIRE,217,RP135364,153.10721967,-26.41947698,PC,100,7 ORIENT DR  SUNRISE BEACH QLD 4567,(PARK/SPS SB15), 
70,15 Mudjimba espl,MUDJIMBA,15 MUDJIMBA BEACH RD,MUDJIMBA,4564,SUNSHINE COAST REGIONAL,202,RP91397,153.09866937,-26.6155142,PC,97,15 MUDJIMBA BEACH RD  MUDJIMBA QLD 4564,, 
72,13-25 Tristania dr,MARCUS BEACH,13-25 TRISTANIA DR,MARCUS BEACH,4573,NOOSA SHIRE,108,SP228371,153.10041731,-26.45689397,PC,100,13-25 TRISTANIA DR  MARCUS BEACH QLD 4573,(TASMAN TRESPASSER PARK), 
73,4 Kayleigh dr,BUDERIM,4 KAYLEIGH DR,BUDERIM,4556,SUNSHINE COAST REGIONAL,28,RP159775,153.09123461,-26.67170052,PC,100,4 KAYLEIGH DR  BUDERIM QLD 4556,, 
74,59 Mahogany dr,MARCUS BEACH,59 MAHOGANY DR,MARCUS BEACH,4573,NOOSA SHIRE,234,M111117,153.09916012,-26.45118204,PC,100,59 MAHOGANY DR  MARCUS BEACH QLD 4573,, 
78,65 Enterprise st,KUNDA PARK,65 ENTERPRISE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,15,SP103373,153.02705911,-26.66981202,PC,100,65 ENTERPRISE ST  KUNDA PARK QLD 4556,, 
79,84 Paget st,MOOLOOLAH VALLEY,84 PAGET ST,MOOLOOLAH VALLEY,4553,SUNSHINE COAST REGIONAL,901,SP173408,152.96348599,-26.76928971,PC,100,84 PAGET ST  MOOLOOLAH VALLEY QLD 4553,, 
80,80 Paget st,MOOLOOLAH VALLEY,84 PAGET ST,MOOLOOLAH VALLEY,4553,SUNSHINE COAST REGIONAL,901,SP173408,152.96348599,-26.76928971,PC,98,84 PAGET ST  MOOLOOLAH VALLEY QLD 4553,, 
81,5 Venture dr,NOOSAVILLE,5 VENTURE DR,NOOSAVILLE,4566,NOOSA SHIRE,36,RP886551,153.04566122,-26.40834804,PC,100,5 VENTURE DR  NOOSAVILLE QLD 4566,, 
82,1 Lakeway dr,COOROIBAH,1 LAKEWAY DR,COOROIBAH,4565,NOOSA SHIRE,91,RP95996,153.01322062,-26.35698979,PC,100,1 LAKEWAY DR  COOROIBAH QLD 4565,, 
84,15 Ward st,EUMUNDI,15 WARD ST,EUMUNDI,4562,SUNSHINE COAST REGIONAL,17,RP888606,152.95011046,-26.47214636,PC,100,15 WARD ST  EUMUNDI QLD 4562,, 
87,2 Swinbourne ln,MAROOCHYDORE,2 SWINBOURNE LANE,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,6,RP169688,153.0838915,-26.64610686,PC,97,2 SWINBOURNE LANE  MAROOCHYDORE QLD 4558,, 
88,69 Enterprise st,KUNDA PARK,69 ENTERPRISE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,13,SP103373,153.02666997,-26.67006242,PC,100,69 ENTERPRISE ST  KUNDA PARK QLD 4556,, 
90,36 Village way,LITTLE MOUNTAIN,36 VILLAGE WAY,LITTLE MOUNTAIN,4551,SUNSHINE COAST REGIONAL,1,SP157048,153.08842282,-26.77730474,PC,100,36 VILLAGE WAY  LITTLE MOUNTAIN QLD 4551,, 
91,12 Ilaroo cres,WARANA,12 ILAROO CR,WARANA,4575,SUNSHINE COAST REGIONAL,131,W95540,153.13035277,-26.72583178,PC,100,12 ILAROO CR  WARANA QLD 4575,, 
94,17 Yaltara st,WURTULLA,17 YALTARA ST,WURTULLA,4575,SUNSHINE COAST REGIONAL,519,W93244,153.12102849,-26.75733934,PC,100,17 YALTARA ST  WURTULLA QLD 4575,, 
